Accession	BGC_type	Compound	immunomodulatory	dermatotoxic	virulence factor	phytotoxic	hemolytic	cyst formation	toxic	vesicant	antibacterial	surfactant	inducer	antiprotozoal	denitrificative	sodium channel blocking	enterotoxic	exopolysaccharide	extracelluar capsule	antiplasmodial	antiproliferative	immunosuppressive	insecticidal	antitumor	cell protectant	herbicidal	regulatory	flavor	NA	antialgal	cell differentiation	signalling	DNA-interfering	antifungal	biofilm	UV protective	antioomycete	pigment	fluorescent	antiviral	anticancer	antimalarial	cell wall	osmolytic	antineoplastic	antioxidant	predation	iron reducing	carbon storage	neurotoxic	nitrogen reduction	ionophore	cytotoxic	anticoccidial	antitubulin	inhibitor	emulsifier	other	anthelmintic	morphogen	cold stress	irritant	cell envelope	tumor promoter	hepatotoxic	swarming motility	neuroprotective	siderophore	antiparasidal	adhesion	odorous metabolite
BGC0000046	Polyketide	depudecin	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
BGC0000047	Polyketide	10,11-dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
BGC0000048	Polyketide	dothistromin	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
BGC0000050	Polyketide	E-837	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
BGC0000051	Polyketide	ebelactone A|ebelactone B	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
BGC0000052	Polyketide	ECO-02301	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
BGC0000053	Polyketide	elaiophylin	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
BGC0000054	Polyketide	erythromycin	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
BGC0000055	Polyketide	erythromycin A|erythromycin B|erythromycin C|erythromycin D	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
BGC0000056	Polyketide	esperamicin	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
